,MESS_DATUM,prec_mm,humidity,temp,sun_min,wind_speed,air_pressure,radiation
14000,2020022713,0.0,68.0,5.2,4.0,3.4,1000.6,117.0
14001,2020022714,0.0,59.0,5.6,16.0,3.6,999.9,70.0
14002,2020022715,0.0,61.0,5.5,0.0,2.8,999.1,57.0
14003,2020022716,0.0,66.0,5.1,0.0,1.8,998.5,24.0
14004,2020022717,0.0,68.0,4.7,0.0,1.2,998.2,11.0
14005,2020022718,0.0,73.0,4.1,0.0,1.1,998.4,1.0
14006,2020022719,0.0,79.0,3.7,0.0,1.8,998.7,0.0
14007,2020022720,0.0,82.0,3.4,0.0,1.3,999.4,0.0
14008,2020022803,0.0,84.0,1.5,0.0,2.8,1006.3,0.0
14009,2020022804,0.0,84.0,1.7,0.0,3.9,1007.4,0.0
14010,2020022805,0.0,84.0,1.9,0.0,4.6,1008.4,0.0
14011,2020022806,0.0,89.0,1.9,0.0,4.7,1009.3,0.0
14012,2020022807,0.0,89.0,2.2,0.0,4.8,1010.1,1.0
14013,2020022808,0.0,90.0,2.6,0.0,5.7,1011.4,8.0
14014,2020022809,0.0,86.0,3.4,0.0,5.7,1012.2,31.0
14015,2020022810,0.0,84.0,4.0,0.0,5.3,1012.9,48.0
14016,2020022811,0.0,77.0,5.2,4.0,6.5,1013.5,64.0
14017,2020022812,0.0,70.0,6.6,11.0,6.9,1013.5,88.0
14018,2020022813,0.0,67.0,6.5,29.0,7.2,1013.7,160.0
14019,2020022814,0.0,59.0,7.8,14.0,6.6,1013.8,70.0
14020,2020022815,0.0,53.0,7.6,15.0,6.9,1014.1,96.0
14021,2020022816,0.0,57.0,6.9,39.0,6.0,1014.1,67.0
14022,2020022817,0.0,63.0,6.1,0.0,4.4,1014.2,21.0
14023,2020022818,0.0,68.0,5.0,0.0,3.2,1014.2,2.0
14024,2020022819,0.0,69.0,4.3,0.0,2.7,1013.6,0.0
14025,2020022820,0.0,72.0,3.6,0.0,3.4,1013.0,0.0
14026,2020022903,0.0,83.0,2.9,0.0,4.1,1005.6,0.0
14027,2020022904,1.3,95.0,1.3,0.0,4.3,1004.2,0.0
14028,2020022905,0.8,97.0,1.0,0.0,4.6,1002.9,0.0
14029,2020022906,0.7,96.0,1.7,0.0,4.0,1001.7,0.0
14030,2020022907,0.8,95.0,2.5,0.0,3.9,1000.6,1.0
14031,2020022908,0.0,93.0,3.3,0.0,4.2,1000.1,6.0
14032,2020022909,0.0,91.0,4.3,0.0,4.0,999.4,19.0
14033,2020022910,0.0,88.0,5.6,0.0,4.2,998.7,32.0
14034,2020022911,0.0,83.0,7.6,0.0,4.6,997.7,65.0
14035,2020022912,0.0,73.0,9.6,35.0,5.1,996.6,123.0
14036,2020022913,0.0,65.0,10.7,50.0,5.9,995.8,130.0
14037,2020022914,0.0,64.0,11.8,60.0,4.4,995.0,130.0
14038,2020022915,0.0,65.0,11.6,27.0,4.5,994.1,106.0
14039,2020022916,0.0,67.0,11.3,2.0,4.3,992.8,53.0
14040,2020022917,0.0,71.0,11.1,0.0,3.9,992.5,13.0
14041,2020022918,0.0,71.0,10.7,0.0,4.3,992.4,1.0
14042,2020022919,0.0,76.0,9.8,0.0,4.0,992.0,0.0
14043,2020022920,0.3,80.0,9.3,0.0,4.4,992.1,0.0
14044,2020030103,0.0,70.0,6.3,0.0,3.9,996.9,0.0
14045,2020030104,0.0,65.0,6.7,0.0,4.6,996.9,0.0
14046,2020030105,0.0,70.0,5.8,0.0,4.4,997.1,0.0
14047,2020030106,0.0,76.0,5.4,0.0,4.4,997.3,0.0
14048,2020030107,0.0,73.0,6.0,18.0,4.7,997.6,2.0
14049,2020030108,0.0,68.0,7.2,60.0,4.9,997.6,29.0
14050,2020030109,0.0,70.0,7.4,32.0,4.7,997.6,55.0
14051,2020030110,0.0,63.0,9.2,48.0,5.1,997.0,81.0
14052,2020030111,0.0,58.0,9.9,1.0,6.3,996.7,97.0
14053,2020030112,0.0,56.0,10.2,1.0,6.2,995.9,101.0
14054,2020030113,0.1,72.0,8.9,1.0,6.6,995.7,64.0
14055,2020030114,0.0,68.0,8.3,0.0,6.2,996.1,58.0
14056,2020030115,0.0,73.0,9.1,9.0,4.6,996.2,58.0
14057,2020030116,0.0,69.0,9.2,57.0,5.5,996.0,84.0
14058,2020030117,0.0,68.0,7.9,26.0,4.4,996.6,29.0
14059,2020030118,0.0,72.0,7.0,0.0,2.7,996.7,2.0
14060,2020030119,0.0,76.0,6.2,0.0,1.8,996.4,0.0
14061,2020030120,0.0,79.0,5.5,0.0,2.1,996.2,0.0
14062,2020030203,2.4,93.0,4.8,0.0,3.5,992.5,0.0
14063,2020030204,0.2,93.0,5.2,0.0,3.7,992.2,0.0
14064,2020030205,0.0,92.0,5.2,0.0,3.5,992.0,0.0
14065,2020030206,0.0,92.0,5.3,0.0,2.6,992.0,0.0
14066,2020030207,0.0,93.0,5.3,0.0,2.5,992.6,2.0
14067,2020030208,0.0,89.0,6.2,0.0,3.2,993.2,9.0
14068,2020030209,0.3,92.0,5.7,0.0,5.3,993.9,19.0
14069,2020030210,0.0,86.0,6.4,6.0,5.9,994.5,83.0
14070,2020030211,0.0,79.0,7.0,6.0,5.1,995.4,55.0
14071,2020030212,0.0,74.0,7.8,2.0,4.9,995.0,58.0
14072,2020030213,0.0,69.0,8.0,24.0,3.8,994.7,158.0
14073,2020030214,0.0,66.0,8.2,32.0,2.1,994.0,176.0
14074,2020030215,0.0,65.0,8.5,32.0,1.3,993.8,105.0
14075,2020030216,0.0,68.0,8.1,34.0,2.5,994.3,74.0
14076,2020030217,0.0,71.0,7.3,0.0,2.6,994.7,23.0
14077,2020030218,0.0,77.0,6.7,0.0,2.9,995.2,3.0
14078,2020030219,0.0,81.0,5.8,0.0,3.2,995.2,0.0
14079,2020030220,0.0,85.0,4.9,0.0,3.1,995.2,0.0
14080,2020030303,0.0,86.0,4.0,0.0,2.9,995.0,0.0
14081,2020030304,0.0,86.0,4.1,0.0,2.8,995.5,0.0
14082,2020030305,0.0,87.0,4.1,0.0,2.5,994.8,0.0
14083,2020030306,0.0,87.0,4.2,0.0,2.1,995.2,0.0
14084,2020030307,0.0,87.0,4.5,0.0,0.8,996.2,0.0
14085,2020030308,0.0,86.0,4.9,0.0,2.0,996.7,7.0
14086,2020030309,0.0,86.0,4.8,0.0,3.3,996.5,22.0
14087,2020030310,0.0,84.0,5.6,0.0,2.8,997.0,46.0
14088,2020030311,0.0,84.0,6.0,0.0,3.9,997.5,51.0
14089,2020030312,0.0,87.0,6.2,0.0,5.1,998.0,46.0
14090,2020030313,0.0,86.0,6.8,0.0,4.6,998.3,35.0
14091,2020030314,0.0,85.0,6.8,0.0,5.3,999.0,16.0
14092,2020030315,0.2,89.0,5.6,0.0,5.7,999.9,16.0
14093,2020030316,0.0,89.0,5.0,0.0,6.2,1000.7,14.0
14094,2020030317,0.0,83.0,5.1,0.0,7.3,1001.6,17.0
14095,2020030318,0.0,84.0,4.9,0.0,6.4,1002.8,3.0
14096,2020030319,0.0,85.0,5.1,0.0,4.7,1003.7,0.0
14097,2020030320,0.0,88.0,4.8,0.0,3.1,1004.5,0.0
14098,2020030403,0.0,87.0,2.0,0.0,3.0,1008.4,0.0
14099,2020030404,0.0,87.0,2.1,0.0,3.0,1009.0,0.0
14100,2020030405,0.0,87.0,2.5,0.0,3.1,1009.2,0.0
14101,2020030406,0.0,88.0,2.2,0.0,2.4,1009.6,0.0
14102,2020030407,0.0,87.0,2.1,16.0,2.5,1010.2,5.0
14103,2020030408,0.0,82.0,2.9,36.0,3.1,1010.4,30.0
14104,2020030409,0.0,76.0,5.3,48.0,3.6,1010.6,72.0
14105,2020030410,0.0,76.0,5.6,0.0,3.7,1010.6,53.0
14106,2020030411,0.0,72.0,6.3,11.0,3.8,1010.4,71.0
14107,2020030412,0.0,68.0,7.6,38.0,4.4,1010.0,131.0
14108,2020030413,0.0,61.0,8.3,54.0,4.3,1009.8,134.0
14109,2020030414,0.0,58.0,9.1,47.0,4.3,1009.7,128.0
14110,2020030415,0.0,57.0,8.3,18.0,4.0,1009.5,99.0
14111,2020030416,0.0,60.0,7.5,9.0,3.9,1009.6,71.0
14112,2020030417,0.0,65.0,6.7,1.0,2.5,1009.8,26.0
14113,2020030418,0.0,65.0,6.7,0.0,2.1,1010.1,2.0
14114,2020030419,0.0,72.0,5.9,0.0,2.1,1010.2,0.0
14115,2020030420,0.0,76.0,5.3,0.0,1.9,1010.1,0.0
14116,2020030503,0.0,94.0,2.0,0.0,1.3,1008.4,0.0
14117,2020030504,0.0,95.0,1.5,0.0,1.9,1008.0,0.0
14118,2020030505,0.0,96.0,0.9,0.0,2.0,1007.6,0.0
14119,2020030506,0.0,95.0,0.9,0.0,1.9,1007.4,0.0
14120,2020030507,0.0,95.0,0.9,0.0,1.9,1007.2,3.0
14121,2020030508,0.0,92.0,1.7,0.0,2.1,1006.9,15.0
14122,2020030509,0.0,87.0,3.8,11.0,2.2,1006.3,49.0
14123,2020030510,0.0,75.0,6.5,59.0,2.4,1005.5,127.0
14124,2020030511,0.0,65.0,8.1,59.0,3.0,1004.7,175.0
14125,2020030512,0.0,61.0,9.3,44.0,3.6,1003.7,188.0
14126,2020030513,0.0,55.0,9.2,21.0,3.5,1002.3,172.0
14127,2020030514,0.0,51.0,10.0,38.0,4.6,1001.4,166.0
14128,2020030515,0.0,49.0,9.6,30.0,4.7,1000.6,99.0
14129,2020030516,0.0,46.0,9.7,26.0,4.4,1000.0,86.0
14130,2020030517,0.0,51.0,8.3,3.0,4.6,999.2,24.0
14131,2020030518,0.0,58.0,7.1,0.0,3.8,998.3,3.0
14132,2020030519,0.0,59.0,6.7,0.0,4.1,998.0,0.0
14133,2020030520,0.0,62.0,6.2,0.0,4.7,997.4,0.0
14134,2020030603,1.1,88.0,4.2,0.0,3.9,992.2,0.0
14135,2020030604,1.2,92.0,3.8,0.0,4.3,991.9,0.0
14136,2020030605,0.2,92.0,3.7,0.0,4.9,991.6,0.0
14137,2020030606,0.3,94.0,3.7,0.0,5.1,991.4,0.0
14138,2020030607,0.0,94.0,3.8,0.0,4.9,991.6,1.0
14139,2020030608,0.0,95.0,4.0,0.0,4.7,991.6,7.0
14140,2020030609,0.0,96.0,4.3,0.0,5.0,991.7,15.0
14141,2020030610,0.2,96.0,4.6,0.0,4.5,992.0,18.0
14142,2020030611,0.8,97.0,5.0,0.0,4.0,992.1,22.0
14143,2020030612,0.5,97.0,5.5,0.0,3.4,992.2,47.0
14144,2020030613,0.0,97.0,6.1,0.0,3.1,992.6,58.0
14145,2020030614,0.0,95.0,7.0,0.0,2.5,992.7,46.0
14146,2020030615,0.1,96.0,7.0,0.0,2.9,993.1,22.0
14147,2020030616,2.8,94.0,6.8,0.0,1.6,993.4,10.0
14148,2020030617,2.1,97.0,6.7,0.0,1.9,994.2,6.0
14149,2020030618,0.0,95.0,6.9,0.0,1.6,995.0,1.0
14150,2020030619,0.0,94.0,7.0,0.0,1.5,995.5,0.0
14151,2020030620,0.0,94.0,6.9,0.0,1.3,996.3,0.0
14152,2020030703,0.1,95.0,2.9,0.0,5.1,1002.8,0.0
14153,2020030704,0.0,94.0,3.5,0.0,5.0,1003.8,0.0
14154,2020030705,0.0,93.0,4.0,0.0,5.6,1004.9,0.0
